old_word,new_word
River's edge,River's Edge
river's edge,River's Edge
monday,Monday
tuesday,Tuesday
wednesday,Wednesday
thursday,Thursday
friday,Friday
saturday,Saturday
sunday,Sunday
jesus,Jesus
mosaic,Mosaic
christian,Christian
christ,Christ
january,January
february,February
march,March
april,April
june,June
july,July
august,August
september,September
october,October
november,November
december,December
bible,Bible
messiah,Messiah
gentile,Gentile
judas,Judas
moses,Moses
roman,Roman
peter,Peter
thomas,Thomas
moses,Moses
holy spirit,Holy Spirit
